time,KPN Trade Volume,10day MA,1 Week momentum,GTO Close,ATC Close,output
678,11566328,2.8932,0.193,59.080002,2.37212,2.991
679,12203455,2.915,0.168,59.689999,2.40103,2.984
680,9782061,2.9344,0.123,56.849998,2.40103,2.955
681,11075009,2.9499,0.036,57.080002,2.36767,2.936
682,6338222,2.9612,-0.06,56.349998,2.35507,2.967
683,11743896,2.9718,-0.038,57.48,2.40622,2.922
684,14331039,2.9721,-0.05,57.09,2.42846,2.83
685,16529158,2.9555,-0.163,56.990002,2.4166,2.793
686,19698696,2.9343,-0.198,55.779999,2.41437,2.86
687,16380349,2.9231,-0.124,56.139999,2.46626,2.838
688,8847859,2.9076,-0.117,55.900002,2.47293,2.793
689,8921517,2.8878,-0.143,55.560001,2.44625,2.812
690,15477472,2.8706,-0.155,55.75,2.36545,2.816
691,12060127,2.8567,-0.106,56.119999,2.4759,2.812
692,9287686,2.8443,-0.018,55.290001,2.44773,2.836
693,12762896,2.8312,0.043,56.73,2.48702,2.818
694,11673767,2.8208,-0.042,56.220001,2.47145,2.84
695,11775013,2.8218,0.002,55.59,2.50777,2.851
696,8354388,2.8276,0.058,55.700001,2.55299,2.827
697,8569963,2.8243,0.015,55.740002,2.57597,2.937
698,20952395,2.8342,0.121,55.470001,2.53668,2.913
699,15900789,2.8462,0.101,55.700001,2.51889,3.013
700,31544993,2.8663,0.177,56.34,2.50629,3.013
701,14986700,2.886,0.195,52.349998,2.51,2.971
702,10519302,2.9019,0.131,49.535,2.49072,2.915
703,11800410,2.9098,0.064,48.665001,2.44328,2.865
704,15070204,2.9145,0.038,48.325001,2.34395,2.855
705,10249661,2.916,-0.082,48.084999,2.29651,2.825
706,10882087,2.9134,-0.088,48.040001,2.2676,2.848
707,8025631,2.9155,-0.165,48.105,2.36322,2.846
708,8923217,2.9064,-0.167,48.415001,2.39584,2.868
709,20129775,2.9019,-0.103,48.255001,2.38101,2.72
710,31133024,2.8726,-0.195,47.41,2.40918,2.687
711,21656912,2.84,-0.178,47.084999,2.40029,2.617
712,23510201,2.8046,-0.238,47.005001,2.4166,2.617
713,20095472,2.7748,-0.208,46.990002,2.38694,2.605
714,17980958,2.7488,-0.243,46.98,2.36471,2.611
715,18012742,2.7244,-0.235,47.264999,2.32764,2.566
716,20059164,2.6985,-0.302,48.689999,2.34914,2.601
717,17233979,2.6738,-0.119,48.384998,2.33357,2.699
718,39171053,2.6591,0.012,48.389999,2.34988,2.675
719,24675352,2.6398,0.058,48.119999,2.37212,2.685
720,16863986,2.6363,0.068,48.525002,2.38324,2.683
721,7551918,2.6359,0.078,48.314999,2.38991,2.679
722,10300820,2.6421,0.068,49.27,2.36322,2.71
723,17186603,2.6514,0.144,48.950001,2.3736,2.719
724,22497623,2.6628,0.118,48.119999,2.40918,2.633
725,16804258,2.665,-0.066,47.66,2.36767,2.619
726,14868145,2.6703,-0.056,47.075001,2.29502,2.582
727,21221605,2.6684,-0.103,47.994999,2.31282,2.637
728,14869291,2.6622,-0.046,48.945,2.37731,2.651
729,15554360,2.6598,-0.028,49.474998,2.41067,2.683
730,19704322,2.6596,-0.027,49.235001,2.50333,2.689
731,15201260,2.6602,-0.03,52.310001,2.63676,2.668
732,13391857,2.6591,0.035,53.299999,2.65974,2.743
733,21492682,2.6624,0.124,53.470001,2.71015,2.754
734,12695201,2.6659,0.172,54.540001,2.70051,2.736
735,16511867,2.6762,0.099,54.549999,2.74869,2.756
736,17565953,2.6899,0.105,54.900002,2.80058,2.797
737,13320355,2.7114,0.114,55.200001,2.76871,2.812
738,13398979,2.7289,0.123,54.990002,2.7902,2.805
739,6957954,2.7443,0.137,55.369999,2.79095,2.79
740,6055503,2.755,0.047,54.57,2.77983,2.796
741,6145826,2.7657,0.042,55.040001,2.77241,2.803
742,3631988,2.7792,0.067,55.419998,2.7865,2.776
743,6476793,2.7825,0.02,54.849998,2.80058,2.825
744,7076871,2.7896,0.028,54.98,2.78427,2.814
745,4736313,2.7974,0.002,54.919998,2.79169,2.874
746,9517743,2.8092,0.069,55.34,2.81467,2.862
747,12824024,2.8157,0.072,55.290001,2.84877,2.834
748,14926462,2.8179,0.038,55.610001,2.79317,2.84
749,10486260,2.8214,0.037,55.380001,2.80651,2.857
750,8339759,2.8281,0.081,55.509998,2.80206,2.845
751,9275318,2.833,0.02,55.240002,2.78872,2.861
752,20512093,2.8388,0.047,55.439999,2.81541,2.808
753,21578424,2.842,-0.066,55.84,2.78798,2.813
754,14773286,2.8408,-0.049,55.310001,2.78724,2.827
755,9834437,2.8421,-0.007,55.32,2.80355,2.815
756,8079284,2.8362,-0.025,54.880001,2.76352,2.815
757,8147379,2.8315,-0.042,55.040001,2.78946,2.795
758,9070988,2.8276,-0.05,54.950001,2.74869,2.778
759,8878060,2.8214,-0.083,53.139999,2.80577,2.822
760,12249306,2.8179,0.014,53,2.89102,2.768
761,12056749,2.8102,-0.045,52.200001,2.84358,2.712
762,18528034,2.7953,-0.115,52.209999,2.91252,2.683
763,17290782,2.7828,-0.132,53.389999,2.91178,2.717
764,12767257,2.7732,-0.098,54.240002,3.0163,2.707
765,11479725,2.7612,-0.088,54.330002,3.00888,2.664
766,12237512,2.7461,-0.114,53.959999,3.00073,2.664
767,15580319,2.731,-0.158,53.759998,3.00666,2.556
768,31731362,2.7071,-0.212,54.139999,3.04298,2.608
769,34587539,2.6901,-0.104,54.25,3.06003,2.635
770,22245784,2.6714,-0.048,53.779999,3.07412,2.59
771,16232596,2.6536,-0.127,52.950001,3.04965,2.584
772,14393440,2.6408,-0.123,53.27,2.99776,2.61
773,12961589,2.6335,-0.054,52.889999,2.98442,2.64
774,18659376,2.6258,-0.024,54.169998,3.04669,2.617
775,12664205,2.6168,0.061,54.459999,3.02149,2.604
776,13465723,2.6108,-0.004,54.860001,3.06893,2.584
777,11680967,2.6028,-0.051,54.689999,3.08672,2.589
778,12411589,2.6061,-0.001,54.43,3.06893,2.626
779,14651305,2.6079,0.042,54.93,3.0541,2.601
780,13544705,2.6045,-0.009,55.130001,3.01704,2.634
781,11272167,2.6089,-0.006,55.279999,3.04965,2.619
782,8974388,2.6124,0.002,56.900002,3.04669,2.654
783,16126799,2.6168,0.05,56.610001,3.01778,2.655
784,15896154,2.6183,0.071,56.279999,3.03335,2.694
785,23308419,2.626,0.105,56.23,2.95625,2.683
786,12266098,2.6339,0.057,56.240002,2.96441,2.665
787,13584666,2.642,0.064,56.810001,2.95106,2.668
788,10598296,2.6499,0.034,56.450001,3.06374,2.69
789,13043680,2.6563,0.071,57.290001,3.07634,2.751
790,26344659,2.6713,0.097,61.73,3.04002,2.746
791,11245973,2.6825,0.091,60.779999,2.99999,2.741
792,9372924,2.6947,0.047,61.330002,2.98739,2.72
793,11099715,2.7013,0.037,60.799999,3.03186,2.783
794,14794929,2.7141,0.118,61.43,3.03928,2.791
795,14096486,2.7238,0.123,61.709999,3.17197,2.771
796,9503599,2.7326,0.081,62.040001,3.1223,2.778
797,12618259,2.7439,0.027,61.950001,3.09858,2.765
798,14413571,2.7536,0.019,61.139999,3.14973,2.818
799,17141063,2.7664,0.077,61.57,3.12156,2.833
800,18390287,2.7746,0.113,63.389999,3.08672,2.806
801,9118809,2.7806,0.023,63.240002,3.06819,2.786
802,12925606,2.7851,-0.005,63.200001,3.0541,2.798
803,13354640,2.7929,0.027,52.400002,3.03038,2.829
804,17219374,2.7975,0.051,50.400002,3.06819,2.813
805,9769449,2.7997,0.048,49.990002,3.1564,2.792
806,10398982,2.8018,-0.026,49.220001,3.14528,2.79
807,8976809,2.803,-0.043,50.139999,3.15788,2.811
808,14940321,2.8076,0.005,50.75,3.16752,2.797
809,11601620,2.8055,0.011,51.41,3.17716,2.823
810,14659852,2.8045,0.025,52.380001,3.1438,2.827
811,12628213,2.8066,-0.002,51.939999,3.10525,2.799
812,10315154,2.8079,-0.014,52,3.1097,2.806
813,9317370,2.8087,0.014,51.700001,3.0756,2.809
814,10912897,2.8067,0.019,52.009998,3.02297,2.78
815,11621952,2.8034,-0.031,52.07,3.11785,2.792
816,12326777,2.8034,-0.005,54.540001,3.13861,2.785
817,13466401,2.8029,-0.038,55.25,3.15714,2.79
818,11121371,2.8008,-0.037,56.48,3.15343,2.785
819,10362370,2.7996,-0.014,56.5,3.10006,2.72
820,17062551,2.7893,-0.086,54.77,3.0163,2.755
821,16143311,2.7821,-0.054,55.549999,3.02519,2.746
822,13046307,2.7768,-0.034,55.860001,3.04002,2.72
823,13774098,2.7682,-0.072,55.209999,3.06077,2.791
824,26291390,2.7664,0.006,55.32,3.18753,2.8
825,19242996,2.7684,0.01,54.950001,3.32097,2.784
826,30895637,2.7676,-0.001,54.889999,3.32541,2.722
827,24953780,2.7613,0.002,55.400002,3.37286,2.655
828,35410885,2.7478,-0.1,51.419998,3.38101,2.735
829,25780139,2.7428,-0.011,52.450001,3.39509,2.746
830,13993400,2.7454,0.026,52.150002,3.39213,2.775
831,18513131,2.7474,-0.016,54,3.38175,2.83
832,19179415,2.7558,0.03,54.790001,3.42178,2.865
833,22462233,2.7703,0.081,56.009998,3.41882,2.879
834,14979805,2.7791,0.157,55.5,3.42549,2.873
835,19677912,2.7864,0.218,53.259998,3.38991,2.848
836,18803477,2.7928,0.113,52.52,3.33505,2.987
837,42186356,2.8193,0.241,53,3.38768,2.917
838,22426907,2.8455,0.142,52.889999,3.38175,2.955
839,20810881,2.8675,0.125,53.799999,3.33283,2.933
840,17317307,2.8862,0.068,52.810001,3.24313,2.9
841,23418862,2.8987,0.021,53.259998,3.19495,2.936
842,13711783,2.9093,0.063,54.650002,3.1653,3
843,20000351,2.9228,0.152,54.900002,3.17271,2.991
844,16034692,2.934,0.004,53.959999,3.26685,2.979
845,13552334,2.9446,0.062,53.459999,3.24684,2.972
846,8128677,2.957,0.017,52.91,3.29131,3.04
847,17525683,2.9623,0.107,52.639999,3.35062,3.05
848,9479860,2.9756,0.15,53.099998,3.30836,3.006
849,13908412,2.9807,0.07,53.110001,3.28761,3.033
850,19573815,2.9907,0.033,52.82,3.28464,3.053
851,18491178,3.006,0.062,53.150002,3.36322,3.052
852,13565914,3.0176,0.073,52.75,3.35432,3.048
853,7039632,3.0224,0.076,52.389999,3.30836,3.046
854,9062465,3.0279,0.006,52.049999,3.28909,3.027
855,10972613,3.0327,-0.023,51.360001,3.32541,3.02
856,11122091,3.0375,0.014,51.93,3.40399,3.022
857,11674621,3.0357,-0.011,52.189999,3.44847,3.002
858,11280245,3.0309,-0.051,51.529999,3.37434,3.008
859,11544347,3.0311,-0.044,52.049999,3.37582,3.03
860,18669509,3.0308,-0.018,54.650002,3.36248,2.954
861,22621253,3.0209,-0.092,54.599998,3.33579,2.981
862,20091853,3.0138,-0.046,55.25,3.37286,2.97
863,10769088,3.006,-0.05,55.360001,3.40399,2.966
864,10908443,2.998,-0.056,54.650002,3.35062,2.991
865,12331901,2.9944,-0.011,54.77,3.33876,3.029
866,19486965,2.9953,0.021,55.25,3.32764,2.926
867,30406542,2.9857,-0.104,55.150002,3.27945,2.903
868,18235078,2.9758,-0.051,54.290001,3.28464,2.848
869,27054674,2.9598,-0.133,53.650002,3.19346,2.834
870,18905852,2.9402,-0.136,53.610001,3.14825,2.806
871,18471672,2.9254,-0.16,52.549999,3.03928,2.801
872,16730277,2.9074,-0.19,52.549999,2.9948,2.829
873,11083392,2.8933,-0.2,54.310001,3.03112,2.811
874,9876431,2.8778,-0.115,56.02,2.99554,2.8
875,10141725,2.8587,-0.103,55.290001,2.98961,2.838
876,17718110,2.8396,-0.01,54.610001,2.98739,2.857
877,11526173,2.8327,0.023,54.790001,2.96737,2.871
878,9644945,2.8295,0.065,54.790001,2.96367,2.846
879,11114667,2.8293,0.045,55.02,2.96218,2.861
880,13725751,2.832,0.032,55.43,2.99406,2.89
881,16576833,2.8404,0.079,55.34,2.97182,2.893
882,9480088,2.8496,0.093,55.59,3.03186,2.923
883,11458332,2.859,0.085,55.290001,3.08301,2.918
884,11376157,2.8697,0.061,54.689999,3.08375,2.951
885,10933360,2.8848,0.08,55.029999,3.12378,2.967
886,13753513,2.8977,0.121,55.040001,3.13787,2.99
887,19947961,2.911,0.129,55,3.09932,2.975
888,14320554,2.9214,0.085,44.150002,3.12601,2.954
889,17204535,2.9322,0.061,43.365002,3.11341,3.072
890,32246749,2.9533,0.149,44.709999,3.10377,3.14
891,26669982,2.9783,0.222,44.720001,3.13639,3.069
892,18209250,2.9959,0.118,43.43,3.04743,3.064
893,15785243,3.01,0.097,43.060001,3.09191,3.082
894,13004732,3.0264,0.092,43.064999,3.14973,3.087
895,12598927,3.04,0.112,43.360001,3.09561,3.09
896,11288277,3.0523,0.136,43.174999,3.13045,3.1
897,10057934,3.0633,0.028,43.645,3.1312,3.119
898,10006937,3.0777,-0.021,43.665001,3.13268,3.135
899,8994706,3.0958,0.066,44.32,3.07189,3.108
900,9823811,3.0994,0.044,44.43,2.91326,3.101
901,8682000,3.0955,0.019,43.634998,2.93994,3.048
902,9754731,3.0934,-0.039,43.200001,2.88287,3.082
903,5643637,3.0952,-0.008,43.305,2.88361,3.086
904,6027033,3.0956,-0.014,44.435001,2.81689,3.071
905,6828828,3.094,-0.048,44.790001,2.81689,3.074
906,7299489,3.0924,-0.061,44.48,2.79169,3.035
907,9650232,3.0859,-0.073,43.740002,2.77464,2.996
908,11881146,3.0736,-0.105,44.09,2.80651,3.009
909,8250982,3.061,-0.039,44.634998,2.81911,2.99
910,8046282,3.0492,-0.092,45.529999,2.77464,2.968
911,10115967,3.0359,-0.118,46.855,2.77464,2.968
912,6655213,3.0279,-0.103,46.5,2.76648,2.956
913,7206352,3.0153,-0.118,46.25,2.80206,2.945
914,9922518,3.0012,-0.09,44.849998,2.79613,2.957
915,8930799,2.9898,-0.039,44.805,2.83542,2.971
916,10697428,2.9795,-0.038,45.395,2.87175,2.955
917,7361435,2.9715,-0.035,42.91,2.86656,2.972
