output,price,profit:,buy_and_hold,long and short,landsprof
1,2.582,-2.198,-0.745,0.055,1.568
0,2.637,0.439,-0.69,-0.014,1.554
0,2.651,0.439,-0.676,-0.032,1.522
0,2.683,0.439,-0.644,-0.006,1.516
0,2.689,0.439,-0.638,0.021,1.537
0,2.668,0.439,-0.659,-0.075,1.462
0,2.743,0.439,-0.584,-0.011,1.451
0,2.754,0.439,-0.573,0.018,1.469
0,2.736,0.439,-0.591,-0.02,1.449
0,2.756,0.439,-0.571,-0.041,1.408
0,2.797,0.439,-0.53,-0.015,1.393
0,2.812,0.439,-0.515,0.007,1.4
0,2.805,0.439,-0.522,0.015,1.415
1,2.79,-2.351,-0.537,0.006,1.421
0,2.796,0.445,-0.531,-0.007,1.414
0,2.803,0.445,-0.524,0.027,1.441
1,2.776,-2.331,-0.551,0.049,1.49
0,2.825,0.494,-0.502,0.011,1.501
0,2.814,0.494,-0.513,-0.06,1.441
0,2.874,0.494,-0.453,0.012,1.453
0,2.862,0.494,-0.465,0.028,1.481
1,2.834,-2.34,-0.493,0.006,1.487
1,2.84,-2.34,-0.487,0.017,1.504
0,2.857,0.517,-0.47,0.012,1.516
0,2.845,0.517,-0.482,-0.016,1.5
0,2.861,0.517,-0.466,0.053,1.553
1,2.808,-2.291,-0.519,0.005,1.558
1,2.813,-2.291,-0.514,0.014,1.572
0,2.827,0.536,-0.5,0.012,1.584
0,2.815,0.536,-0.512,0,1.584
0,2.815,0.536,-0.512,0.02,1.604
0,2.795,0.536,-0.532,0.017,1.621
1,2.778,-2.242,-0.549,0.044,1.665
0,2.822,0.58,-0.505,0.054,1.719
1,2.768,-2.188,-0.559,-0.056,1.663
1,2.712,-2.188,-0.615,-0.029,1.634
1,2.683,-2.188,-0.644,0.034,1.668
0,2.717,0.529,-0.61,0.01,1.678
0,2.707,0.529,-0.62,0.043,1.721
1,2.664,-2.135,-0.663,0,1.721
1,2.664,-2.135,-0.663,-0.108,1.613
1,2.556,-2.135,-0.771,0.052,1.665
1,2.608,-2.135,-0.719,0.027,1.692
0,2.635,0.5,-0.692,0.045,1.737
0,2.59,0.5,-0.737,0.006,1.743
0,2.584,0.5,-0.743,-0.026,1.717
0,2.61,0.5,-0.717,-0.03,1.687
0,2.64,0.5,-0.687,0.023,1.71
0,2.617,0.5,-0.71,0.013,1.723
0,2.604,0.5,-0.723,0.02,1.743
1,2.584,-2.084,-0.743,0.005,1.748
0,2.589,0.505,-0.738,-0.037,1.711
0,2.626,0.505,-0.701,0.025,1.736
0,2.601,0.505,-0.726,-0.033,1.703
0,2.634,0.505,-0.693,0.015,1.718
0,2.619,0.505,-0.708,-0.035,1.683
0,2.654,0.505,-0.673,-0.001,1.682
0,2.655,0.505,-0.672,-0.039,1.643
0,2.694,0.505,-0.633,0.011,1.654
0,2.683,0.505,-0.644,0.018,1.672
1,2.665,-2.16,-0.662,0.003,1.675
0,2.668,0.508,-0.659,-0.022,1.653
0,2.69,0.508,-0.637,-0.061,1.592
0,2.751,0.508,-0.576,0.005,1.597
0,2.746,0.508,-0.581,0.005,1.602
0,2.741,0.508,-0.586,0.021,1.623
1,2.72,-2.212,-0.607,0.063,1.686
0,2.783,0.571,-0.544,-0.008,1.678
0,2.791,0.571,-0.536,0.02,1.698
0,2.771,0.571,-0.556,-0.007,1.691
0,2.778,0.571,-0.549,0.013,1.704
1,2.765,-2.194,-0.562,0.053,1.757
0,2.818,0.624,-0.509,-0.015,1.742
,,,,,
,,,,-0.015,
