Date,KPN Close,AKZA Close,RAND Close,VPK Close,HEIA Close,Volume,%K 14day,%D 3,slow %D 3,RSI,ROC,momentum,OSCP,disparity 3,disparity 14,low 14,max 14,RS,ups,downs,ma 3,ma 14,output
18/08/2010,6.68732,49.4044,32.439999,31.855,34.919998,8346065,85.36487248,93.87219115,87.56853428,66.53022755,103.2771593,0.00303,0.011989543,99.87922068,101.0767269,6.47512,6.7237,1.987770537,0,0.03638,6.695406667,6.616082857,6.64185
19/08/2010,6.64185,49.151199,31.514999,31.094999,34.865002,10151487,55.00027489,80.12171579,88.69252911,61.04420863,100.137047,-0.03335,0.008493954,99.36507842,100.2090808,6.54181,6.7237,1.567012413,0,0.04547,6.68429,6.627992143,6.62366
20/08/2010,6.62366,48.0881,30.620001,30.879999,34.625,10241143,44.99972511,61.78829083,78.59406592,49.26061945,100.7840685,-0.10004,0.003561185,99.5897825,99.94444013,6.54181,6.7237,0.970855752,0,0.01819,6.650943333,6.627342143,6.67216
23/08/2010,6.67216,47.705601,30.379999,30.355,34.389999,5756506,71.66419264,57.22139755,66.37713472,58.29092416,100.6401477,-0.01516,0.001718725,100.3952819,100.5678338,6.54181,6.7237,1.397559715,0.0485,0,6.64589,6.634487143,6.63882
24/08/2010,6.63882,46.462502,29.26,30.01,34.759998,8807990,53.3344329,56.66611688,58.55860175,50.78583765,100.0913647,-0.00303,0.001468373,99.90880196,100.0555054,6.54181,6.7237,1.031935427,0,0.03334,6.64488,6.635137143,6.63882
25/08/2010,6.63882,46.327499,28.01,29.17,35.200001,8743875,53.3344329,59.44435281,57.77728908,50.5260782,101.4829229,0.01516,0.002164597,99.83288053,100.0489785,6.54181,6.7237,1.021266889,0,0,6.649933333,6.63557,6.64488
26/08/2010,6.64488,46.462502,29.245001,29.65,34.990002,8902909,52.72596413,53.13160998,56.41402656,60.49443053,100.689001,-0.02728,-0.000314943,100.0608357,100.0293222,6.55697,6.7237,1.53128866,0.00606,0,6.64084,6.642932143,6.86921
27/08/2010,6.86921,46.6763,29.32,31.799999,35.369999,16007958,100,68.68679901,60.4209206,70.50775312,103.9450707,0.23039,0.008320535,102.2563491,103.1071766,6.55697,6.86921,2.390721649,0.22433,0,6.717636667,6.662203571,6.86617
30/08/2010,6.86617,46.439999,29.375,31.700001,35.25,5224260,99.02638996,83.91745136,68.57862012,69.76754891,104.7155927,0.22735,0.0168864,101.0708892,102.7776126,6.55697,6.86921,2.307704019,0,0.00304,6.79342,6.680608571,6.9359
31/08/2010,6.9359,46.8731,29.325001,31.695,35.34,10576080,100,99.67546332,84.0932379,78.28046869,105.0023692,0.29102,0.027245158,100.6599495,103.4024457,6.60547,6.9359,3.604150917,0.06973,0,6.890426667,6.707675,6.91468
