KPN Close,KPN Trade Volume,10day MA,1 Week momentum,GTO Close,ATC Close,output
2.275,20084744,2.22,0.087,50.220001,2.149,-1
2.266,14034861,2.2268,0.076,50.34,2.104,1
2.29,13472879,2.2373,0.081,50.139999,2.112,-1
2.274,13395475,2.2459,0.031,50.099998,2.118,1
2.317,14195510,2.2586,0.091,50.080002,2.229,1
2.336,25219183,2.2713,0.099,50.139999,2.285,-1
2.294,13209694,2.2764,0.045,50.200001,2.282,1
2.31,10991918,2.2848,0.035,50.259998,2.245,-1
2.31,12230190,2.2921,0.044,50.200001,2.285,1
2.339,12997263,2.3011,0.049,50.099998,2.383,-1
2.272,18638558,2.3008,-0.002,50.200001,2.323,1
2.287,11252583,2.3029,-0.03,50.060001,2.294,-1
2.25,11902493,2.2989,-0.086,50.16,2.34,1
2.27,8902399,2.2985,-0.024,50.099998,2.379,-1
2.264,10681874,2.2932,-0.046,50.200001,2.442,1
2.268,9792215,2.2864,-0.042,50.220001,2.446,-1
2.259,11313688,2.2829,-0.08,50.16,2.367,-1
2.256,9828424,2.2775,-0.016,50.060001,2.326,1
2.319,25230637,2.2784,0.032,50.080002,2.434,1
2.321,20371409,2.2766,0.071,49.900002,2.308,-1
2.228,26375790,2.2722,-0.042,50.099998,2.344,1
2.301,16277775,2.2736,0.037,50.099998,2.363,1
2.325,16468893,2.2811,0.057,50.099998,2.447,1
2.372,19905836,2.2913,0.113,50.279999,2.327,1
2.384,19829308,2.3033,0.128,50.380001,2.365,1
2.405,15789701,2.317,0.086,50.360001,2.319,-1
2.374,11993255,2.3285,0.053,50.439999,2.282,-1
2.331,14082101,2.336,0.103,50.259998,2.14,1
2.386,22382419,2.3427,0.085,50.259998,2.106,-1
2.359,16999912,2.3465,0.034,50.240002,2.05,-1
2.287,17829964,2.3524,-0.085,50.299999,2.017,1
2.308,12330898,2.3531,-0.076,50.299999,2.061,1
2.314,10737717,2.352,-0.091,50.299999,2.076,1
2.336,17165111,2.3484,-0.038,50.360001,2.107,1
2.364,14686748,2.3464,0.033,50.400002,2.072,-1
2.336,12516978,2.3395,-0.05,50.459999,2.137,1
2.371,14153265,2.3392,0.012,50.540001,2.143,-1
2.369,15922306,2.343,0.082,50.5,2.174,1
2.39,11415701,2.3434,0.082,50.5,2.32,-1
2.386,7641919,2.3461,0.072,50.540001,2.307,-1
2.385,7851457,2.3559,0.049,50.5,2.224,-1
2.377,6508896,2.3628,0.013,50.66,2.13,1
2.41,12704894,2.3724,0.074,50.779999,2.144,1
2.434,13878620,2.3822,0.063,50.720001,2.168,-1
2.4,17273989,2.3858,0.031,50.740002,2.158,-1
2.4,10907591,2.3922,0.01,50.580002,2.112,1
2.408,9090419,2.3959,0.022,50.599998,2.069,-1
2.36,19785340,2.395,-0.025,50.560001,1.99,1
2.39,14381895,2.395,0.013,50.619999,2.02,-1
2.341,15117326,2.3905,-0.069,50.560001,1.78,1
2.383,9587955,2.3903,-0.051,50.580002,1.557,1
2.52,34573855,2.4046,0.12,50.599998,1.643,-1
2.504,23085149,2.414,0.104,50.639999,1.7,1
2.551,28628138,2.4257,0.143,50.560001,1.8495,-1
2.537,14575180,2.4394,0.177,50.599998,1.85,1
2.613,31603706,2.4607,0.223,50.560001,2.139,1
2.621,18946266,2.482,0.28,50.599998,2.168,1
2.651,20100702,2.5111,0.268,50.560001,2.236,1
2.652,14810604,2.5373,0.132,50.599998,2.249,-1
2.58,26695611,2.5612,0.076,50.5,2.12,1
2.627,18743715,2.5856,0.076,50.599998,2.112,-1
2.567,12115008,2.5903,0.03,50.52,1.9445,1
2.588,19344365,2.5987,-0.025,50.759998,1.987,1
2.642,18151798,2.6078,0.021,50.779999,2.069,-1
2.564,23426019,2.6105,-0.087,50.779999,2.038,1
2.624,16764138,2.6116,-0.028,50.740002,2.029,-1
2.62,11888884,2.6115,0.04,50.720001,1.993,-1
2.596,20221271,2.606,-0.031,50.700001,1.969,1
2.605,14363720,2.6013,0.038,50.700001,1.998,-1
2.547,21572333,2.598,-0.041,50.619999,1.8965,1
2.55,27788276,2.5903,-0.092,50.48,1.805,-1
2.518,2691267,2.5854,-0.046,50.580002,1.679,-1
2.482,15326092,2.5748,-0.142,50.68,1.6065,1
2.524,11540667,2.563,-0.096,50.619999,1.72,1
2.56,3598292,2.5626,-0.036,50.66,1.699,-1
2.545,8738009,2.5547,-0.06,50.759998,1.694,1
2.569,16535304,2.5496,0.022,50.700001,1.6675,1
2.583,15652725,2.5483,0.033,50.720001,1.8405,-1
2.552,12176347,2.543,0.034,50.720001,1.852,-1
2.503,20492610,2.5386,0.021,50.740002,1.8465,-1
2.491,15605765,2.5327,-0.033,50.720001,1.8285,1
2.496,16429003,2.5305,-0.064,50.68,1.914,1
2.507,11208648,2.533,-0.038,50.68,1.9115,-1
2.472,11574857,2.5278,-0.097,50.68,1.7575,1
2.473,14198900,2.5191,-0.11,50.700001,1.729,-1
2.47,13640391,2.5116,-0.082,50.68,1.6985,1
2.498,14307907,2.5045,-0.005,50.68,1.6865,1
2.525,15998977,2.4987,0.034,50.700001,1.7365,-1
2.491,9370983,2.4926,-0.005,50.700001,1.7385,1
2.495,13081915,2.4918,-0.012,50.68,1.7135,-1
2.489,13964101,2.4916,0.017,50.639999,1.73,-1
2.477,11753978,2.4897,0.004,50.700001,1.78,1
2.521,22602252,2.4911,0.051,50.599998,1.795,1
2.546,24812809,2.4985,0.048,50.599998,1.802,-1
2.508,19108530,2.502,-0.017,50.619999,1.7925,1
2.529,42062722,2.5079,0.038,50.619999,1.843,1
